,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
241,sell,short,151.051,2023-11-16 15:20:00,151.10735714285713,150.9570714285714,,,
242,take_profit,short,151.051,2023-11-16 15:20:00,151.10735714285713,150.9570714285714,150.918,1.5,2023-11-16 15:25:00
243,sell,short,150.604,2023-11-17 03:25:00,150.6884285714286,150.46328571428572,,,
244,take_profit,short,150.604,2023-11-17 04:20:00,150.54128571428572,150.46328571428572,150.452,1.5,2023-11-17 04:25:00
245,buy,long,149.259,2023-11-22 16:45:00,149.10449999999997,149.51649999999998,,,
246,take_profit,long,149.259,2023-11-22 16:50:00,149.10449999999997,149.51649999999998,149.613,1.5,2023-11-22 16:55:00
247,sell,short,149.504,2023-11-24 16:55:00,149.59860714285713,149.3463214285714,,,
248,stop_loss,short,149.504,2023-11-24 19:00:00,149.59860714285713,149.3463214285714,149.603,-1.0,2023-11-24 19:05:00
249,sell,short,147.524,2023-11-28 18:40:00,147.7285357142857,147.18310714285715,,,
250,stop_loss,short,147.524,2023-11-28 19:25:00,147.45135714285715,147.18310714285715,147.491,-1.0,2023-11-28 19:30:00
251,sell,short,147.299,2023-11-29 19:05:00,147.42360714285715,147.09132142857143,,,
252,stop_loss,short,147.299,2023-11-29 19:55:00,147.24528571428573,147.09132142857143,147.279,-1.0,2023-11-29 20:00:00
253,sell,short,147.282,2023-12-04 22:00:00,147.33889285714287,147.18717857142857,,,
254,take_profit,short,147.282,2023-12-04 23:00:00,147.26414285714284,147.18717857142857,147.185,1.5,2023-12-04 23:05:00
255,buy,long,143.778,2023-12-08 06:20:00,143.53875,144.17675,,,
256,stop_loss,long,143.778,2023-12-08 08:00:00,143.89107142857142,144.17675,143.887,-1.0,2023-12-08 08:05:00
